Partner jurisdiction code;Partner jurisdiction;Year;Company name;Headquarter country code;Headquarter country;Revenue;Profit before tax;CIT paid;FTEs;Average ETR over 6 years;Exchange rate to EUR
AUT;Austria;2019;ERSTE;AUT;AUSTRIA;3169;620;136;13488;0,0995434;1
CZE;Czech Republic;2019;ERSTE;AUT;AUSTRIA;1641;914;142;9056;0,1850446;1
HRV;Croatia;2019;ERSTE;AUT;AUSTRIA;424;182;40;3276;0,1777216;1
HUN;Hungary;2019;ERSTE;AUT;AUSTRIA;434;192;14;3032;0,1567981;1
OTHER;OTHER;2019;ERSTE;AUT;AUSTRIA;161;66;7;0;0,1037944;1
ROU;Romania;2019;ERSTE;AUT;AUSTRIA;711;207;80;6646;0,1419074;1
SRB;Serbia;2019;ERSTE;AUT;AUSTRIA;103;40;3;1146;0,0822935;1
SVK;Slovakia;2019;ERSTE;AUT;AUSTRIA;613;108;46;4063;0,2300272;1
