Partner jurisdiction code;Partner jurisdiction;Year;Company name;Headquarter country code;Headquarter country;Revenue;Profit before tax;CIT paid;FTEs;Average ETR over 6 years;Exchange rate to EUR
AUT;Austria;2019;Erste;AUT;Austria;3169;620;136;13488;0,1825204;1
CZE;Czech Republic;2019;Erste;AUT;Austria;1641;914;142;10089;0,1805446;1
HRV;Croatia;2019;Erste;AUT;Austria;424;182;40;3331;0,1839068;1
HUN;Hungary;2019;Erste;AUT;Austria;434;192;14;3032;0,3468463;1
OTHER;OTHER;2019;Erste;AUT;Austria;161;66;7;0;0,2518652;1
ROU;Romania;2019;Erste;AUT;Austria;711;207;80;6646;0,197357;1
SRB;Serbia;2019;Erste;AUT;Austria;103;40;3;1146;-0,0329162;1
SVK;Slovakia;2019;Erste;AUT;Austria;613;108;46;4063;0,2276019;1
