Company name;Headquarter country;Headquarter country code;Year;Partner jurisdiction;Partner jurisdiction code;Revenue;Profit before tax;CIT paid;CIT accrued;FTEs;Statutory CIT rate;Exchange rate to EUR
BP;United Kingdom;GBR;2019;Nigeria;NGA;0,000655756;-0,052417565;0,080042386;0,16044928;8;0;0,8934
BP;United Kingdom;GBR;2019;North Africa region;#N/A;3674,223658;-252,571329;521,398255;385,9824392;374;;0,8934
BP;United Kingdom;GBR;2019;Norway;NOR;349,2997559;7,41914828;4,772678597;2,791447061;40;0,23;0,8934
BP;United Kingdom;GBR;2019;Pakistan;PAK;12,87169802;6,150790087;0,859286414;0,974694933;0;0,3;0,8934
BP;United Kingdom;GBR;2019;Panama;PAN;2660,148395;-29,1568943;0;0;0;0,25;0,8934
BP;United Kingdom;GBR;2019;Peru;PER;0;0,05445273;0,001748384;0,001748384;9;0,295;0,8934
BP;United Kingdom;GBR;2019;Philippines;PHL;36,3415626;2,082335827;0,985979468;0,671412435;44;0,3;0,8934
BP;United Kingdom;GBR;2019;Poland;POL;2133,163326;126,7579684;22,92016985;23,70516827;4767;0,19;0,8934
BP;United Kingdom;GBR;2019;Portugal;PRT;891,7344978;27,95113843;5,708705391;4,674273267;148;0,21;0,8934
BP;United Kingdom;GBR;2019;Puerto Rico;PRI;143,0632224;-1,438844822;5,477338019;-0,645371612;0;0,375;0,8934
BP;United Kingdom;GBR;2019;Romania;ROU;154,2399915;18,36413897;3,619187522;2,660125302;16;0,16;0,8934
BP;United Kingdom;GBR;2019;Russia;RUS;328,0499752;173,7925472;3,980541913;17,13360912;254;0,2;0,8934
BP;United Kingdom;GBR;2019;Sao Tome and Principe;STP;0;-6,820928533;0;0;0;;0,8934
BP;United Kingdom;GBR;2019;Senegal;SEN;0;-19,99171722;0;0;24;0,3;0,8934
BP;United Kingdom;GBR;2019;Singapore;SGP;51674,91964;1034,090103;46,23751408;66,11662984;1521;0,17;0,8934
BP;United Kingdom;GBR;2019;Slovakia;SVK;0;0;0;0;0;0,21;0,8934
BP;United Kingdom;GBR;2019;Somalia;SOM;0;0;0;0;0;;0,8934
BP;United Kingdom;GBR;2019;South Africa;ZAF;3888,925421;-36,14493598;5,731546949;3,269498254;1004;0,28;0,8934
BP;United Kingdom;GBR;2019;South Korea;KOR;70,1573217;2,214201667;0,417986124;0,828981393;129;0,25;0,8934
BP;United Kingdom;GBR;2019;Spain;ESP;5961,793172;166,6468696;95,30380772;30,56285664;1876;0,25;0,8934
BP;United Kingdom;GBR;2019;Sweden;SWE;336,5973536;4,59829049;1,607206052;1,166948359;57;0,22;0,8934
BP;United Kingdom;GBR;2019;Switzerland;CHE;611,971105;64,55185582;4,311714572;7,582591343;60;0,18;0,8934
BP;United Kingdom;GBR;2019;Taiwan;TWN;28,0275143;4,76428153;0,874928955;0,96259383;23;0,2;0,8934
BP;United Kingdom;GBR;2019;Thailand;THA;155,3922854;39,69628496;7,749645529;8,222843773;171;0,2;0,8934
BP;United Kingdom;GBR;2019;Trinidad and Tobago;TTO;2450,374069;-186,1052967;70,93474051;78,07918973;788;;0,8934
BP;United Kingdom;GBR;2019;Turkey;TUR;2384,825418;35,91119217;0,423054382;3,4269064;583;0,22;0,8934
BP;United Kingdom;GBR;2019;Ukraine;UKR;13,78423644;2,641301364;0,446861705;0,528171826;13;0,18;0,8934
BP;United Kingdom;GBR;2019;United Kingdom;GBR;108741,3035;-552,0474337;54,19699872;299,9239653;15346;0,19;0,8934
BP;United Kingdom;GBR;2019;United States;USA;106778,1441;-2655,886878;29,06972079;-161,2823912;13681;0,27;0,8934
BP;United Kingdom;GBR;2019;Venezuela;VEN;0,000520852;-3,894159067;-0,000971126;0;0;0,34;0,8934
BP;United Kingdom;GBR;2019;Vietnam;VNM;168,4321329;69,92035271;11,57883208;12,61376094;191;0,2;0,8934
