Company name;Headquarter country;Headquarter country code;Year;Partner jurisdiction;Partner jurisdiction code;Revenue;Profit before tax;CIT paid;CIT accrued;FTEs;Statutory CIT rate;Exchange rate to EUR
ENI;Italy;ITA;2019;Slovenia;SVN;39,971;4,179;0,607;0,646;36;0,19;1
ENI;Italy;ITA;2019;Spain;ESP;398,358;2,547;0,71;0,626;98;0,25;1
ENI;Italy;ITA;2019;Sweden;SWE;1,901;0,349;0,096;0,076;1;0,22;1
ENI;Italy;ITA;2019;Switzerland;CHE;857,204;34,019;5,055;6,674;82;0,18;1
ENI;Italy;ITA;2019;Turkey;TUR;14,684;9,203;0,112;0,098;10;0,22;1
ENI;Italy;ITA;2019;Ukraine;UKR;0,062;-0,671;0;0;7;0,18;1
ENI;Italy;ITA;2019;United Kingdom;GBR;30876,578;347,141;160,871;106,588;982;0,19;1
ENI;Italy;ITA;2019;Algeria;DZA;1391,432;693,048;590,668;596,425;763;0,26;1
ENI;Italy;ITA;2019;Angola;AGO;2372,234;534,269;221,298;256,244;368;0;1
ENI;Italy;ITA;2019;Congo;COG;1468,378;-363,223;243,499;294,406;515;0,35;1
ENI;Italy;ITA;2019;Congo. the Democratic Republic of the;COD;0,002;-0,188;0;0;0;;1
ENI;Italy;ITA;2019;Egypt;EGY;3770,933;1924,646;602,584;536,231;2959;0,23;1
ENI;Italy;ITA;2019;Gabon;GAB;40,148;-12,308;0;0;14;;1
ENI;Italy;ITA;2019;Ghana;GHA;836,591;202,524;0;0;197;0;1
ENI;Italy;ITA;2019;Ivory Coast;CIV;0,075;-11,223;0;0;4;0,25;1
ENI;Italy;ITA;2019;Kenya;KEN;0,428;-2,99;0;0;9;0,3;1
ENI;Italy;ITA;2019;Libya;LBY;4451,409;2240,028;1988,788;2043,244;4385;;1
ENI;Italy;ITA;2019;Morocco;MAR;4,188;-2,581;0;0;2;0,31;1
ENI;Italy;ITA;2019;Mozambique;MOZ;50,32;-22,172;0;0;171;;1
ENI;Italy;ITA;2019;Nigeria;NGA;1591,443;143,452;155,518;199,11;1172;0;1
ENI;Italy;ITA;2019;South Africa;ZAF;9,051;-9,879;0;0;6;0,28;1
ENI;Italy;ITA;2019;Tunisia;TUN;162,565;7,442;96,508;94,642;526;0,25;1
ENI;Italy;ITA;2019;Australia;AUS;275,435;35,042;29,987;24,813;88;0,3;1
ENI;Italy;ITA;2019;Bahrain;BHR;0,01;-3,288;0;0;1;0;1
ENI;Italy;ITA;2019;China;CHN;83,217;-19,343;0,381;0,005;62;0,25;1
ENI;Italy;ITA;2019;India;IND;0,557;-16,74;0;0,052;4;0,35;1
