"COU","Ultimate Parent Jurisdiction","JUR","Partner Jurisdiction","PAN","Grouping","CBC","Variable","YEA","Year","Value","Flag Codes","Flags"
"ZAF","South Africa","CZE","Czech Republic","PANELAI","Sub-Groups with positive profits","ACT_ADMIN","Administrative, Management or Support Services","2016","2016",1,,
"IND","India","BRB","Barbados","PANELAI","Sub-Groups with positive profits","ACT_DOR","Dormant","2016","2016",0,,
"DNK","Denmark","TUR","Turkey","PANELAI","Sub-Groups with positive profits","ACT_DOR","Dormant","2016","2016",1,,
"CHN","China (People's Republic of)","NZL","New Zealand","PANELAI","Sub-Groups with positive profits","ACT_IP","Holding or Managing Intellectual Property","2016","2016",0,,
"IDN","Indonesia","ZAF","South Africa","PANELAI","Sub-Groups with positive profits","ACT_DOR","Dormant","2016","2016",0,,
"CHN","China (People's Republic of)","TWN","Chinese Taipei","PANELAI","Sub-Groups with positive profits","ACT_SALES","Sales, Marketing or Distribution","2016","2016",9,,
"AUT","Austria","FJT","Foreign Jurisdictions Total","PANELAI","Sub-Groups with positive profits","ACT_ADMIN","Administrative, Management or Support Services","2016","2016",560,,
"IND","India","ZMB","Zambia","PANELAI","Sub-Groups with positive profits","ACT_MAN","Manufacturing or Production","2016","2016",0,,
"AUS","Australia","CHE","Switzerland","PANELAI","Sub-Groups with positive profits","ACT_RD","Research and Development","2016","2016",3,,
"ITA","Italy","PAN","Panama","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",9,,
"USA","United States","LUX","Luxembourg","PANELAI","Sub-Groups with positive profits","ASSETS","Tangible Assets other than Cash and Cash Equivalents","2016","2016",24374432782,,
"MEX","Mexico","CYM","Cayman Islands","PANELAI","Sub-Groups with positive profits","PROFIT","Profit (Loss) before Income Tax","2016","2016",14465439.894,,
"BMU","Bermuda","BRA","Brazil","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",43627867,,
"ZAF","South Africa","SAU","Saudi Arabia","PANELAI","Sub-Groups with positive profits","SUBGROUPS_COUNT","Number of CbCR Sub Groups","2016","2016",3,,
"IND","India","OMN","Oman","PANELAI","Sub-Groups with positive profits","TAX_ACCRUED","Income Tax Accrued - Current Year","2016","2016",16113000.379,,
"MEX","Mexico","SVN","Slovenia","PANELAI","Sub-Groups with positive profits","TAX_ACCRUED","Income Tax Accrued - Current Year","2016","2016",1287517.783,,
"CHN","China (People's Republic of)","OTE","Other Europe","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",10496740470.551,,
